2025-02-19 15:41:36,305 [INFO] Using device: mps
2025-02-19 15:41:36,305 [INFO] Loading tokenized train/valid sets from disk...
2025-02-19 15:41:36,319 [INFO] Train samples: 3668, Valid samples: 408
2025-02-19 15:41:36,735 [INFO] Measuring Time to First Training Step (TTFT)...
2025-02-19 15:41:37,465 [INFO] TTFT finished: 721.62 ms, initial loss=1.0227
2025-02-19 15:41:37,466 [INFO] 
===== Epoch 1/3 =====
2025-02-19 15:42:00,507 [INFO]   [Epoch 1, Batch 79] loss=0.6565, step_time=0.27s, tokens=1024
2025-02-19 15:42:00,789 [INFO]   [Epoch 1, Batch 80] loss=0.4894, step_time=0.27s, tokens=1024
2025-02-19 15:42:01,071 [INFO]   [Epoch 1, Batch 81] loss=0.6751, step_time=0.27s, tokens=1024
2025-02-19 15:42:01,353 [INFO]   [Epoch 1, Batch 82] loss=0.5234, step_time=0.27s, tokens=1024
2025-02-19 15:42:01,633 [INFO]   [Epoch 1, Batch 83] loss=0.6247, step_time=0.27s, tokens=1024
2025-02-19 15:42:01,919 [INFO]   [Epoch 1, Batch 84] loss=0.5776, step_time=0.27s, tokens=1024
2025-02-19 15:42:02,302 [INFO]   [Epoch 1, Batch 85] loss=0.5664, step_time=0.37s, tokens=1024
2025-02-19 15:42:02,616 [INFO]   [Epoch 1, Batch 86] loss=0.4342, step_time=0.28s, tokens=1024
2025-02-19 15:42:02,898 [INFO]   [Epoch 1, Batch 87] loss=0.4998, step_time=0.27s, tokens=1024
2025-02-19 15:42:03,186 [INFO]   [Epoch 1, Batch 88] loss=0.7982, step_time=0.28s, tokens=1024
2025-02-19 15:42:03,467 [INFO]   [Epoch 1, Batch 89] loss=0.6659, step_time=0.28s, tokens=1024
2025-02-19 15:42:03,748 [INFO]   [Epoch 1, Batch 90] loss=0.6616, step_time=0.28s, tokens=1024
2025-02-19 15:42:04,028 [INFO]   [Epoch 1, Batch 91] loss=0.6454, step_time=0.27s, tokens=1024
2025-02-19 15:42:04,308 [INFO]   [Epoch 1, Batch 92] loss=0.4835, step_time=0.27s, tokens=1024
2025-02-19 15:42:04,596 [INFO]   [Epoch 1, Batch 93] loss=0.4367, step_time=0.28s, tokens=1024
2025-02-19 15:42:04,879 [INFO]   [Epoch 1, Batch 94] loss=0.6756, step_time=0.27s, tokens=1024
2025-02-19 15:42:05,174 [INFO]   [Epoch 1, Batch 95] loss=0.3724, step_time=0.29s, tokens=1024
2025-02-19 15:42:05,454 [INFO]   [Epoch 1, Batch 96] loss=0.6347, step_time=0.28s, tokens=1024
